name	source_name	category	kind	verdict	resolvable	metadata	pieces	footprint	top_tier	format	creator	licence	body	origin	origins	sha256	role	fit	gaps
brokkr-broken-bridge-2.blueprint	brokkr-broken-bridge-2.blueprint	bridge	setpiece	PLACES_WITH_GAPS	True	curated	2468	45.0x94.1x17.6	swamp(12)	blueprint	Oosdevforty	none stated	reference	Oosquai/SavheimIV	Oosquai/SavheimIV	9f3e7ed5e018655968ae474a91b6d44d3a2a86243c6a4ecf048d0c371d26f1f6	broken bridge design 2, 94 m span, 2468 pieces	Swamp crossing	0.08% missing: BHP_Skull3 x1, BRP_StoneChest x1
brokkr-broken-bridge-3.blueprint	brokkr-broken-bridge-3.blueprint	bridge	setpiece	PLACES_CLEAN	True	curated	1973	72.1x72.8x12.3	blackforest(1492)	blueprint	Brokkr	none stated	reference	Oosquai/SavheimIV	Oosquai/SavheimIV	e50bbe8068f122a56be458c8bfa643f910c73ac9e0695c59facd0003e521fb66	broken bridge design 3, 73 m span, 1973 pieces	Black Forest crossing	
bridge.vbuild	bridge.vbuild	bridge	setpiece	PLACES_CLEAN	True	curated	873	39.4x57.5x12.4	swamp(47)	vbuild		none stated	reference	fleet corpus	fleet corpus	d5da48288ae74847ca37e3c4c128b4ed83a3da6c5fef7779a3ca59e48679b81f	timber trestle bridge, 39 x 58 m span	Black Forest river crossing	
long-bridge.blueprint	long-bridge.blueprint	bridge	setpiece	PLACES_CLEAN	True	curated	814	89.3x41.6x18.8	ashlands(352)	blueprint	Cooties	none stated	reference	fleet corpus	fleet corpus	7626ec0673191fab3322d1ef86bd43b113c55252651f2c0198e07ee980ebe948	ashwood long bridge, 89 m span	Ashlands / Deep North crossing	
foresthold.blueprint	foresthold.blueprint	defence	module	PLACES_CLEAN	True	curated	585	18.0x12.0x13.0	blackforest(194)	blueprint	Raimod	AGPL-3.0	reference	RickardAndreasAgren/ValheimBlueprintCruncher	RickardAndreasAgren/ValheimBlueprintCruncher	a9e953eb440fd61c8e4326aa6e32f2498df9a8d869980989328b130ff2926ee1	small walled hold, 18 x 12 x 13 m, 585 pieces	Black Forest road choke point / gatehouse	
foresthold_deserted.blueprint	foresthold_deserted.blueprint	defence	module	PLACES_CLEAN	True	curated	515	18.0x12.0x13.0	blackforest(194)	blueprint	Raimod	AGPL-3.0	reference	RickardAndreasAgren/ValheimBlueprintCruncher	RickardAndreasAgren/ValheimBlueprintCruncher	93b06d7c8b3b5cda8553f0fb09a22e20882909962b7006b0108a9339c4b1eac7	the same hold, stripped and empty, 515 pieces	abandoned hold; fine as a claimable objective	
god-o.blueprint	god-o.blueprint	defence	module	PLACES_CLEAN	True	curated	194	7.0x5.0x10.0	blackforest(150)	blueprint	God	none stated	reference	fleet corpus	fleet corpus	32d0e66701e599c64749dde931d9cbc02b2f79d2b50fcf4df7e8beb71223521e	stone gate arch, 7 x 5 x 10 m	palisade gateway; road choke point	
fortress.blueprint	fortress.blueprint	defence	setpiece	PLACES_CLEAN	True	curated	10626	76.3x51.1x34.4	ashlands(779)	blueprint	Olivanderr	none stated	reference	fleet corpus	fleet corpus	27d720f73eb4c097fdf3bdac693b863ac300a6f586d46474c327af9476066ff6	fortress, 76 x 51 x 34 m, 4 beds	Plains / Mistlands strongpoint	
god-shadowstone-fortress.blueprint	god-shadowstone-fortress.blueprint	defence	setpiece	PLACES_CLEAN	True	curated	8283	135.8x129.4x37.2	mistlands(2)	blueprint	God	none stated	reference	fleet corpus	fleet corpus	2eeb5128b725b0f4d877217c8e089179a9066654b27d7ededf16809a54b56731	fortress, 136 x 129 m, 15 beds, 1894 wall pieces	Mistlands stronghold	1 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route; ZDO spam: sign x464, itemstandh x448, itemstand x130
brokkr-fort-torment-final-cut-sh.blueprint	brokkr-fort-torment-final-cut-sh.blueprint	defence	setpiece	PLACES_CLEAN	True	curated	8139	173.6x175.2x54.5	ashlands(1843)	blueprint	Oosdevforty	none stated	reference	Oosquai/SavheimIV	Oosquai/SavheimIV	0470947611047dba49294f147956579567314913a9bd4fc6cb28c6685cef7bda	fort, 174 x 175 x 55 m, 8139 pieces	Ashlands stronghold -- very large	
god-test.blueprint	god-test.blueprint	defence	setpiece	PLACES_CLEAN	True	curated	3356	28.6x27.3x36.3	swamp(374)	blueprint	God	none stated	reference	fleet corpus	fleet corpus	c7ae43b206fb896917002f6fdb38bb1c2950ab9e63b6cf2864568e66c978b88a	stone keep, 29 x 27 x 36 m	Swamp / Mountain strongpoint	
god-portaaoo.blueprint	god-portaaoo.blueprint	defence	setpiece	PLACES_CLEAN	True	curated	2191	36.0x12.0x23.0	mistlands(4)	blueprint	God	none stated	reference	fleet corpus	fleet corpus	e249c441d846199c05c6bdba5c74213c4aeedb30a8c94d5622a777f01bc3e154	monumental stone gatehouse, 36 x 12 x 23 m	settlement main gate -- already selected in deepnorth-sandbox as sandbox-portal-hub	
PlainsRaiderTown1.blueprint	PlainsRaiderTown1.blueprint	defence	setpiece	PLACES_CLEAN	True	curated	1591	78.7x89.1x12.5	swamp(12)	blueprint	SiR RuStY SpOoN	none stated	reference	RustyMods/VikingNPC	RustyMods/VikingNPC	345c32b303f9e52e2c7d969cffe0eadcc764c0e7e4e09639cef9569042e681c1	raider camp, 79 x 89 m, 1591 pieces	Plains hostile camp	93 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
MountainRaiderTown1.blueprint	MountainRaiderTown1.blueprint	defence	setpiece	PLACES_CLEAN	True	curated	1018	63.4x64.6x19.5	blackforest(549)	blueprint	SiR RuStY SpOoN	none stated	reference	RustyMods/VikingNPC	RustyMods/VikingNPC	419cf2a9305142ce1e7168dbcbf0f74cdb6646402ae7e1903b3c34cea88e3f81	raider camp, 63 x 65 m, 1018 pieces	Mountain hostile camp	6 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
MeadowRaiderTown1.blueprint	MeadowRaiderTown1.blueprint	defence	setpiece	PLACES_CLEAN	True	curated	906	75.1x77.3x37.9	blackforest(6)	blueprint	SiR RuStY SpOoN	none stated	reference	RustyMods/VikingNPC	RustyMods/VikingNPC	49cea92e30d19ddcd18cf42ea5f4a917ddd8abf7a7ed0f408737952c3d7b7341	raider camp, 75 x 77 m, 906 pieces	Meadows hostile camp	73 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
BlackForestRaiderTown1.blueprint	BlackForestRaiderTown1.blueprint	defence	setpiece	PLACES_CLEAN	True	curated	903	80.4x80.4x11.3	blackforest(6)	blueprint	SiR RuStY SpOoN	none stated	reference	RustyMods/VikingNPC	RustyMods/VikingNPC	71690bb1b209b3b012220d7c40086eb7bb3c29d28b978a75c6158d09a2563524	raider camp, 80 x 80 m, 903 pieces	Black Forest hostile camp	187 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
swamptown1.blueprint	swamptown1.blueprint	defence	setpiece	PLACES_CLEAN	True	curated	733	55.2x53.2x15.5	meadows(733)	blueprint	GoRe-AdMiN	none stated	reference	RustyMods/VikingNPC	RustyMods/VikingNPC	a19420d675e1bbabaaea777f070a67afc240ac934d22be602e20080bf2583b45	raider camp on stilts, 55 x 53 m, 733 pieces	Swamp hostile camp	
MistlandRaiderTown1.blueprint	MistlandRaiderTown1.blueprint	defence	setpiece	PLACES_CLEAN	True	curated	527	41.4x51.3x14.1	mistlands(114)	blueprint	SiR RuStY SpOoN	none stated	reference	RustyMods/VikingNPC	RustyMods/VikingNPC	6b8b080286d514953e54a850bb27f1dbbd0602d2606c2393c31071adb222d109	raider camp, 41 x 51 m, 527 pieces, 65 prefabs	Mistlands hostile camp	43 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
PuP_rampart1.blueprint	PuP_rampart1.blueprint	defence	empty	EMPTY	False	curated	0	0.0x0.0x0.0	meadows(0)	blueprint		none stated	reference	fleet corpus	fleet corpus		0-byte -- would have been the corpus's only pure rampart	-	
dock.blueprint	dock.blueprint	dock	setpiece	PLACES_CLEAN	True	curated	2036	42.2x29.0x23.5	blackforest(275)	blueprint	Olivanderr	none stated	reference	fleet corpus	fleet corpus	4157326c69a0157df45f96bbcf1c56c6e85fd81e66020006171cdb9ef79de9b9	harbour with warehouse, 42 x 29 m	any coast -- already selected twice	
s-ren-dockhouse.blueprint	s-ren-dockhouse.blueprint	dock	setpiece	PLACES_CLEAN	True	curated	1225	35.8x42.8x19.5	swamp(18)	blueprint	Sören	none stated	reference	fleet corpus	fleet corpus	1b221bf6ffe257b4e079e9b63bd98e32cce6170dba254c23507d53d4048574c3	harbour with signal fire, 36 x 43 m, berths 4-6 longships	sheltered bay, any biome but Plains per author	
terrain-blueprint-contract.blueprint	terrain-blueprint-contract.blueprint	fixture	module	PLACES_CLEAN	True	curated	2	4.0x0.0x0.0	meadows(2)	blueprint	Infinity Hammer	Unlicense (public domain)	committed	JereKuusela/valheim-infinity_hammer	JereKuusela/valheim-infinity_hammer	74e5a9c7d39e3fec3d7b59a465636f957db111eaf7a7928d6d3fd6eb65cd49bc	2 wood_floor pieces plus a #TerrainHeight and #TerrainPaint grid	not for the world -- it is the upstream contract for the terrain sections, and the reference this library's parser is checked against	
terrain-rotated-center.blueprint	terrain-rotated-center.blueprint	fixture	module	PLACES_CLEAN	True	curated	2	3.0x4.0x1.0	meadows(2)	blueprint	Infinity Hammer	Unlicense (public domain)	committed	JereKuusela/valheim-infinity_hammer	JereKuusela/valheim-infinity_hammer	436a44ed21d89854db51c6eafbf1d7cc9f0eb8d23fa08d18b7bd8e80b7201909	2 pieces with #Center:wood_floor and a rotated origin	not for the world -- pins the recentre-around-a-named-piece behaviour	
terrain-future-section.blueprint	terrain-future-section.blueprint	fixture	module	PLACES_CLEAN	True	curated	1	0.0x0.0x0.0	meadows(1)	blueprint	Infinity Hammer	Unlicense (public domain)	committed	JereKuusela/valheim-infinity_hammer	JereKuusela/valheim-infinity_hammer	1bf93e54e7e767507e72c036a9889e7157bc73f9f5495f01ba565584681d286f	deliberately contains unknown sections #FuturePieceData / #FutureTerrainData	not for the world -- its #Description is the authoritative statement that 'Unknown sections must not inherit the preceding parser state', which is what settles the #Terrain question. Scores UNUSABLE on purpose: `future_payload` is not a prefab, because it is never meant to be read as one	2 terrain rows discarded by Infinity Hammer (#FuturePieceData, #FutureTerrainData) -- level the ground by hand, and strip them before the RCON route
drake-lighthouse.blueprint	drake-lighthouse.blueprint	flavour	module	PLACES_CLEAN	True	curated	1255	14.1x14.1x48.0	mistlands(1)	blueprint	Drake	none stated	reference	fleet corpus	fleet corpus	8f531ce29c330c7bc8d367047c2bfcde31bfb5afa42f499cdedc3f4c3eee2fac	lighthouse, 14 x 14 x 48 m	headland navigation landmark, any coast	
hs_ashlands_badmin_eaglebird.blueprint	hs_ashlands_badmin_eaglebird.blueprint	flavour	module	PLACES_CLEAN	True	derived	576	14.4x13.6x13.1	ashlands(283)	blueprint	BaDmIn	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	73e0f1d8fa045a26a40c654708f1ba6e8daef302e76bdabaf474216b04c0cde0	576 pieces, 17 prefabs, 14.4x13.6x13.1 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement	32 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
ruins_0.blueprint	ruins_0.blueprint	flavour	module	PLACES_WITH_GAPS	True	curated	549	12.7x17.8x34.9	blackforest(432)	blueprint	Oosdevforty	none stated	reference	Oosquai/SavheimIV	Oosquai/SavheimIV	1213b6593fced678e40409f0d0f3b5c0ca412d06d97108d77d5b018a0e4bdf3c	tower ruin, 13 x 18 x 35 m, 549 pieces, 7 prefabs	Black Forest ruins landmark	0.36% missing: CL_Raw_Green x2
hs_ashlands_sheepshank_statuevalhallav2.blueprint	hs_ashlands_sheepshank_statuevalhallav2.blueprint	flavour	module	PLACES_CLEAN	True	derived	546	19.0x19.0x15.6	ashlands(499)	blueprint	Sheepshank	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	16fbd1cf6dd120a1a5bf6cd63c6e79ae348a62cdd8dbfbe86cc3ecef1f0bf7b7	546 pieces, 29 prefabs, 19.0x19.0x15.6 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement	45 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
hs_ashlands_giantchristmastreeonly.blueprint	hs_ashlands_giantchristmastreeonly.blueprint	flavour	module	PLACES_CLEAN	True	derived	442	7.1x7.1x7.1	ashlands(263)	blueprint	Bri Games	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	2d19596833892e809f8df86be1cbc416c834435faaa3750f37e772972a37f62a	442 pieces, 9 prefabs, 7.1x7.1x7.1 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement	21 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
hs_ashlands_wissman_godwayshrine.blueprint	hs_ashlands_wissman_godwayshrine.blueprint	flavour	module	PLACES_CLEAN	True	derived	394	10.6x11.0x9.5	ashlands(344)	blueprint	Wissman	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	b3c4c114f4ee7077f90776a7bd809d50d33fc3acf2e99ab4808e9ec0b067cc42	394 pieces, 16 prefabs, 10.6x11.0x9.5 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement	25 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
hs_meadows_boar_breeder.blueprint	hs_meadows_boar_breeder.blueprint	flavour	module	PLACES_CLEAN	True	derived	394	14.2x17.0x16.0	blackforest(24)	blueprint	Modestypooh	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	50ff5fba5c5cda2d5d4d541d676e970c2ee0ace8520bee6e4ccdb7a2239dfc8d	394 pieces, 24 prefabs, 14.2x17.0x16.0 m, 0 stations, 0 beds, 0 portals	source biome tag: meadows; material tier: blackforest. DERIVED from the measurements in `role` -- not a curated judgement	34 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
hs_ashlands_storehousevanilla_brigames.blueprint	hs_ashlands_storehousevanilla_brigames.blueprint	flavour	module	PLACES_CLEAN	True	derived	383	11.0x10.2x9.0	ashlands(36)	blueprint	Bri Games	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	1eae12faf9142d8f25df2b5ce70df380ffab42443cf17f020d37b6130dbf771e	383 pieces, 33 prefabs, 11.0x10.2x9.0 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement	25 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
ruins_0_1_and_0_2_and_0_3.blueprint	ruins_0_1_and_0_2_and_0_3.blueprint	flavour	module	PLACES_WITH_GAPS	True	curated	360	25.1x19.3x11.5	mistlands(1)	blueprint	Oosdevforty	none stated	reference	Oosquai/SavheimIV	Oosquai/SavheimIV	ba598713c94af720699f01b6ca22ed96a30522aec2c02fab155db644a0377ff7	the three small ruins as one group, 360 pieces	ruins cluster	0.28% missing: CL_Raw_Yellow x1
boom-christianruins1.blueprint	boom-christianruins1.blueprint	flavour	module	PLACES_WITH_GAPS	True	curated	359	23.5x24.0x8.3	swamp(3)	blueprint	Oosdevforty	none stated	reference	Oosquai/SavheimIV	Oosquai/SavheimIV	c12f58e7b87a2c71c5100d4b09080c92ae5dc79bdab2aaf73d9b81d1c494ef3d	ruined chapel, 24 x 24 x 8 m, 359 pieces	ruins landmark	0.28% missing: CL_Raw_Black x1
hs_mistlands_aodi_skardvakt_the_black_tower.blueprint	hs_mistlands_aodi_skardvakt_the_black_tower.blueprint	flavour	module	PLACES_CLEAN	True	derived	358	9.3x9.3x10.5	mistlands(355)	blueprint	Aodi	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	91bf9032791de3ac854099d73bceeef61dffc36b28076af713e61ada66550ebf	358 pieces, 7 prefabs, 9.3x9.3x10.5 m, 0 stations, 0 beds, 0 portals	source biome tag: mistlands; material tier: mistlands. DERIVED from the measurements in `role` -- not a curated judgement	21 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
hs_ashlands_chessboard.blueprint	hs_ashlands_chessboard.blueprint	flavour	module	PLACES_CLEAN	True	derived	337	18.0x15.7x1.9	ashlands(160)	blueprint	IsE Dawsded	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	b62ff29a57f7881156697bb1f08da2f46312f1a3572fc8c51ab7690f26d238d8	337 pieces, 6 prefabs, 18.0x15.7x1.9 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement	34 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
hs_plains_abzul_storage.blueprint	hs_plains_abzul_storage.blueprint	flavour	module	PLACES_CLEAN	True	derived	294	12.5x10.1x6.0	blackforest(32)	blueprint	Abzul	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	182180e951c38603f2127e135873e266035bfd26aa87f96f065e23774aab22c1	294 pieces, 15 prefabs, 12.5x10.1x6.0 m, 0 stations, 0 beds, 0 portals	source biome tag: plains; material tier: blackforest. DERIVED from the measurements in `role` -- not a curated judgement	28 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
foresthold_ruins.blueprint	foresthold_ruins.blueprint	flavour	module	PLACES_CLEAN	True	curated	285	16.5x12.0x12.5	blackforest(134)	blueprint	Raimod	AGPL-3.0	reference	RickardAndreasAgren/ValheimBlueprintCruncher	RickardAndreasAgren/ValheimBlueprintCruncher	539c8b6ae96e259ea7cb27dfb21621b5369f3b157193b740af6797bce8692d29	the same hold as a ruin, 285 pieces	ruins landmark	
hs_plains_halvar_cluckingham_palace.blueprint	hs_plains_halvar_cluckingham_palace.blueprint	flavour	module	PLACES_CLEAN	True	derived	273	10.0x7.0x11.0	swamp(22)	blueprint	Halvar	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	98803676e697a10d9c7b1aceb7ab3a6e1fbbff769f73ad60ec2c5b3e144bf18e	273 pieces, 29 prefabs, 10.0x7.0x11.0 m, 0 stations, 0 beds, 0 portals	source biome tag: plains; material tier: swamp. DERIVED from the measurements in `role` -- not a curated judgement	23 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
hs_mistlands_black_marble_pillars_parts.blueprint	hs_mistlands_black_marble_pillars_parts.blueprint	flavour	module	PLACES_CLEAN	True	derived	264	21.1x24.4x4.5	mistlands(212)	blueprint	Ise LeGaCy	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	a6ae9b3408227f743569146005ae9ec13f13923edb15a672073c0b52eb7310df	264 pieces, 13 prefabs, 21.1x24.4x4.5 m, 0 stations, 0 beds, 0 portals	source biome tag: mistlands; material tier: mistlands. DERIVED from the measurements in `role` -- not a curated judgement	52 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
PuP_marketmarket.blueprint	PuP_marketmarket.blueprint	flavour	module	PLACES_WITH_GAPS	True	curated	257	14.5x14.9x5.8	ashlands(1)	blueprint	PuP	none stated	reference	fleet corpus	fleet corpus	d548bf12567f5c0e2d2093a77553a8af4d94ea5eaf078d868b2af81388ba7e33	market stall row, 15 x 15 m, 39 banners	trader settlement / festival ground	0.39% missing: market x1
hs_ashlands_customspiralstairsgrausten_brigames.blueprint	hs_ashlands_customspiralstairsgrausten_brigames.blueprint	flavour	module	PLACES_CLEAN	True	derived	257	8.6x8.2x15.0	ashlands(254)	blueprint	Bri Games	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	7cd7f340f9ad97201f95f76c0c4b5efe47853c9dc3df74250284f4c6dac361c0	257 pieces, 11 prefabs, 8.6x8.2x15.0 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement	21 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
hs_blackforest_brigames_snowflake.blueprint	hs_blackforest_brigames_snowflake.blueprint	flavour	module	PLACES_CLEAN	True	derived	239	11.5x11.5x9.7	swamp(5)	blueprint	Bri Games	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	c55674adf014be2bbf57515b172b4e54b38335390c7fd0a78e3f76bf407854a3	239 pieces, 8 prefabs, 11.5x11.5x9.7 m, 0 stations, 0 beds, 0 portals	source biome tag: blackforest; material tier: swamp. DERIVED from the measurements in `role` -- not a curated judgement	25 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
sample_003.blueprint	sample_003.blueprint	flavour	module	PLACES_CLEAN	True	derived	236	12.0x16.0x10.0	meadows(236)	blueprint	Homestead	GPL-3.0	reference	sighsorry1029/Homestead	sighsorry1029/Homestead	cb74f73983866fe4eae762791b7f49b4ca6bf9d7e2801b9db2fde9a773d5557c	236 pieces, 17 prefabs, 12.0x16.0x10.0 m, 0 stations, 0 beds, 0 portals	source biome tag: none; material tier: meadows. DERIVED from the measurements in `role` -- not a curated judgement	
hs_ashlands_sweettoothstall.blueprint	hs_ashlands_sweettoothstall.blueprint	flavour	module	PLACES_CLEAN	True	derived	232	5.8x5.8x4.8	ashlands(70)	blueprint	Bri Games	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	a7dd66c85697874db89d4427e1aa2811d1ae548cf37860201e46fb9507cfc227	232 pieces, 35 prefabs, 5.8x5.8x4.8 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement	16 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
hs_ashlands_giantsnowflakeonly.blueprint	hs_ashlands_giantsnowflakeonly.blueprint	flavour	module	PLACES_CLEAN	True	derived	230	16.6x16.7x14.1	ashlands(191)	blueprint	Bri Games	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	8c93b62b0b8129d7aad826efbd4f5e099abc97a4bf7fbbdf4ae34a1972b7c5f6	230 pieces, 6 prefabs, 16.6x16.7x14.1 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement	36 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
hs_meadows_starterhouse.blueprint	hs_meadows_starterhouse.blueprint	flavour	module	PLACES_CLEAN	True	derived	221	10.2x8.7x13.0	swamp(1)	blueprint	BerserkTBuilDeR	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	536e43bcc7014fe345096d51b95764b22bb85de53c1b1a9893b21b46c64c37b4	221 pieces, 23 prefabs, 10.2x8.7x13.0 m, 0 stations, 0 beds, 0 portals	source biome tag: meadows; material tier: swamp. DERIVED from the measurements in `role` -- not a curated judgement	23 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
hs_meadows_mad_madstarterhouse.blueprint	hs_meadows_mad_madstarterhouse.blueprint	flavour	module	PLACES_CLEAN	True	derived	217	14.1x14.1x8.0	meadows(217)	blueprint	Mad	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	27eb670735944aad6142621f8b1446ec9d4c02296c3edbcb434679e14856ec98	217 pieces, 18 prefabs, 14.1x14.1x8.0 m, 0 stations, 0 beds, 0 portals	source biome tag: meadows; material tier: meadows. DERIVED from the measurements in `role` -- not a curated judgement	32 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
hs_plains_black_bv_build2.blueprint	hs_plains_black_bv_build2.blueprint	flavour	module	PLACES_CLEAN	True	derived	217	14.6x17.2x10.0	blackforest(48)	blueprint	Black	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	4456bf1656b11a4fba82e791050409e2001232cd6907aa97d5374b8d029e075d	217 pieces, 20 prefabs, 14.6x17.2x10.0 m, 0 stations, 0 beds, 0 portals	source biome tag: plains; material tier: blackforest. DERIVED from the measurements in `role` -- not a curated judgement	34 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
hs_ashlands_santasleigh.blueprint	hs_ashlands_santasleigh.blueprint	flavour	module	PLACES_CLEAN	True	derived	214	7.7x6.9x4.5	ashlands(109)	blueprint	Bri Games	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	32e6b1813a7703b55cf245d359e690082ab6e300259c6285ac53d19d7c84a535	214 pieces, 28 prefabs, 7.7x6.9x4.5 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement	21 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
twotwohouse_stormed.blueprint	twotwohouse_stormed.blueprint	flavour	module	PLACES_CLEAN	True	curated	205	11.5x14.1x4.1	meadows(205)	blueprint	Raimod	AGPL-3.0	reference	RickardAndreasAgren/ValheimBlueprintCruncher	RickardAndreasAgren/ValheimBlueprintCruncher	7d72624fb6f0e6a1f83ae9ba263fdb2cb181c7e9f2c7bb461c039f302d84dd23	the same cottage, roof torn off, 205 pieces	raided-village storytelling	
hs_meadows_artio_pergola_crossroad.blueprint	hs_meadows_artio_pergola_crossroad.blueprint	flavour	module	PLACES_CLEAN	True	derived	200	6.0x6.0x5.0	meadows(200)	blueprint	Artio	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	579d497b2cc77f4e4e090dfce5980b5aa45b1b54b12e7742d856553be86a38e8	200 pieces, 10 prefabs, 6.0x6.0x5.0 m, 0 stations, 0 beds, 0 portals	source biome tag: meadows; material tier: meadows. DERIVED from the measurements in `role` -- not a curated judgement	16 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
hs_ashlands_tallbookcase_brigames.blueprint	hs_ashlands_tallbookcase_brigames.blueprint	flavour	module	PLACES_CLEAN	True	derived	197	1.8x4.5x9.1	ashlands(45)	blueprint	Bri Games	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	df87230f4a46cab287afdca3a5305c607d31fe86ca11f1ad3e3de0bdb5373d28	197 pieces, 15 prefabs, 1.8x4.5x9.1 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement	14 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
